doc_id,doc_name,source,year,word
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,encompass
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,hectare
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,million
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,acre
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pinette
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,world
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,soil
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,removal
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,manage
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,nongovernmental
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,organization
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,initiate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,conservation
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,advocate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,communitybased
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,cbcs
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,facilitate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,management
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,promote
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,plan
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,graze
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,conservation
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,wildlife
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,corridor
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,forest
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,uganda
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,inhabitant
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,nomadic
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pastoralist
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,share
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,environment
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,wildlife
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,begin
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,approve
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,verify
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,standard
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,program
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,greenhouse
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,gas
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,ghs
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,run
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,vera
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,nonprofit
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,institution
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,manage
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,develop
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,standard
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,climate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,action
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,responsible
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,business
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,practice
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,sustainable
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,development
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,climate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,biodiversity
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,alliance
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,ccba
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,standard
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,benefit
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,cbcs
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,situate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,laikipia
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,marsabit
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,samburu
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,isiolo
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,map
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,laikipia
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,samburu
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,isiolo
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,marsabit
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,modify
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,owino
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,forthcoming
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,empirical
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,datum
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,indepth
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,interview
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,focus
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,discussion
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,stakeholder
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,samburu
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,isiolo
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,county
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,base
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,month
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,fieldwork
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,site
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,governance
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,operation
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,entail
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,rotational
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,graze
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pattern
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pastoral
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,traditional
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,animal
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,husbandry
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,monitor
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,net
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,methane
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,traditional
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pastoral
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,livestock
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,activity
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,implement
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,rotational
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,graze
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pattern
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,assist
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,store
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,soil
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,recover
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,perennial
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,implement
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,estimate
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,positively
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,impact
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,nomadic
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pastoral
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,life
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,assume
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,provide
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,economic
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,intervention
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,reduce
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,environmental
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,pressure
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,incentivizing
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,sustainable
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,land
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,management
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,double
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,exposure
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,lens
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,main
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,question
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,probe
doc_01,Carbon Profits or Pastoralist Precarity,Independent,2025,extent
